"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",1763.6524217364
"2","member","Sunday",945.446737078478
"3","casual","Monday",1525.92706406869
"4","member","Monday",804.412572305198
"5","casual","Tuesday",1372.23142508126
"6","member","Tuesday",780.082765722564
"7","casual","Wednesday",1327.72448971398
"8","member","Wednesday",780.776716648625
"9","casual","Thursday",1341.5377419889
"10","member","Thursday",780.616364988396
"11","casual","Friday",1445.93250057639
"12","member","Friday",821.671268178462
"13","casual","Saturday",1665.79822659319
"14","member","Saturday",934.594798941203
