"","all_trips_v2$member_casual","all_trips_v2$day_of_week","all_trips_v2$ride_length"
"1","casual","Sunday",373162
"2","member","Sunday",363386
"3","casual","Monday",242240
"4","member","Monday",411969
"5","casual","Tuesday",241495
"6","member","Tuesday",458354
"7","casual","Wednesday",249076
"8","member","Wednesday",468369
"9","casual","Thursday",259671
"10","member","Thursday",445121
"11","casual","Friday",338314
"12","member","Friday",441594
"13","casual","Saturday",480544
"14","member","Saturday",426144
